Date,Close,Open,High,Low,Vol.,Change %
"Mar 27, 2023",0.2063,0.2105,0.211,0.2047,21.38M,-1.98%
"Mar 26, 2023",0.2105,0.2064,0.2118,0.2051,17.88M,1.98%
"Mar 25, 2023",0.2064,0.2089,0.2114,0.2022,26.41M,-1.18%
"Mar 24, 2023",0.2089,0.2193,0.22,0.2065,40.04M,-4.74%
"Mar 23, 2023",0.2193,0.2134,0.2224,0.2109,50.70M,2.86%
"Mar 22, 2023",0.2132,0.223,0.2401,0.2084,139.32M,-4.57%
"Mar 21, 2023",0.2234,0.2094,0.2258,0.2043,51.85M,6.71%
"Mar 20, 2023",0.2094,0.2197,0.2244,0.2074,56.67M,-4.62%
"Mar 19, 2023",0.2195,0.2145,0.2245,0.2145,38.83M,2.34%
"Mar 18, 2023",0.2145,0.2264,0.2295,0.2136,51.21M,-5.39%
"Mar 17, 2023",0.2267,0.2083,0.2271,0.2063,43.09M,8.81%
"Mar 16, 2023",0.2083,0.2038,0.2099,0.2009,33.20M,2.22%
"Mar 15, 2023",0.2038,0.2222,0.2255,0.1989,63.56M,-8.27%
"Mar 14, 2023",0.2222,0.2122,0.2269,0.2053,77.67M,4.71%
"Mar 13, 2023",0.2122,0.2012,0.2155,0.1939,81.32M,5.63%
"Mar 12, 2023",0.2009,0.187,0.2019,0.1815,54.72M,7.42%
"Mar 11, 2023",0.187,0.1883,0.1937,0.1789,59.79M,-0.70%
"Mar 10, 2023",0.1883,0.1933,0.1949,0.1846,80.34M,-2.67%
"Mar 09, 2023",0.1935,0.2018,0.207,0.1877,53.03M,-4.13%
"Mar 08, 2023",0.2018,0.2171,0.2179,0.1998,37.10M,-7.05%
"Mar 07, 2023",0.2171,0.2251,0.2278,0.2126,37.26M,-3.56%
"Mar 06, 2023",0.2251,0.2258,0.2306,0.219,33.75M,-0.30%
"Mar 05, 2023",0.2258,0.2245,0.2307,0.2228,20.09M,0.59%
"Mar 04, 2023",0.2245,0.2331,0.2337,0.2208,18.01M,-3.70%
"Mar 03, 2023",0.2331,0.242,0.2421,0.2222,43.20M,-3.65%
"Mar 02, 2023",0.2419,0.2508,0.2515,0.2396,26.25M,-3.56%
"Mar 01, 2023",0.2508,0.2443,0.2539,0.2427,24.96M,2.70%
"Feb 28, 2023",0.2443,0.2548,0.2556,0.2423,27.15M,-4.17%
"Feb 27, 2023",0.2549,0.2553,0.2614,0.2498,25.14M,-0.12%
"Feb 26, 2023",0.2552,0.2505,0.2557,0.2482,19.22M,1.87%
"Feb 25, 2023",0.2505,0.2566,0.2575,0.2439,25.63M,-2.38%
"Feb 24, 2023",0.2566,0.2685,0.2698,0.251,37.88M,-4.43%
"Feb 23, 2023",0.2685,0.2714,0.2791,0.265,41.75M,-1.07%
"Feb 22, 2023",0.2714,0.2789,0.2798,0.2619,48.21M,-2.69%
"Feb 21, 2023",0.2789,0.285,0.2932,0.2739,54.86M,-2.14%
"Feb 20, 2023",0.285,0.2781,0.2913,0.269,64.85M,2.47%
