Date,Close,Open,High,Low,Vol.,Change %
"Mar 27, 2023",5.99,6.045,6.053,5.94,3.76M,-0.92%
"Mar 26, 2023",6.046,5.907,6.105,5.88,1.92M,2.35%
"Mar 25, 2023",5.907,6.019,6.078,5.834,4.58M,-1.85%
"Mar 24, 2023",6.019,6.32,6.336,5.951,4.11M,-4.77%
"Mar 23, 2023",6.32,6.056,6.418,5.992,8.95M,4.47%
"Mar 22, 2023",6.05,6.363,6.385,5.916,14.19M,-4.93%
"Mar 21, 2023",6.363,6.089,6.451,6.007,11.62M,4.49%
"Mar 20, 2023",6.09,6.457,6.482,6.056,11.34M,-5.53%
"Mar 19, 2023",6.447,6.313,6.596,6.313,5.11M,2.17%
"Mar 18, 2023",6.31,6.618,6.696,6.285,6.88M,-4.79%
"Mar 17, 2023",6.627,6.091,6.629,6.027,8.25M,8.79%
"Mar 16, 2023",6.092,5.874,6.136,5.783,6.32M,3.71%
"Mar 15, 2023",5.874,6.23,6.368,5.784,18.65M,-5.71%
"Mar 14, 2023",6.229,6.102,6.535,5.988,21.07M,2.09%
"Mar 13, 2023",6.102,5.886,6.142,5.712,21.59M,3.65%
"Mar 12, 2023",5.887,5.465,5.892,5.369,7.12M,7.69%
"Mar 11, 2023",5.466,5.549,5.671,5.23,7.98M,-1.49%
"Mar 10, 2023",5.549,5.388,5.581,5.163,19.67M,2.99%
"Mar 09, 2023",5.388,5.6,5.798,5.278,15.68M,-3.78%
"Mar 08, 2023",5.6,5.846,5.937,5.522,13.78M,-4.21%
"Mar 07, 2023",5.846,5.919,6.011,5.746,9.74M,-1.24%
"Mar 06, 2023",5.919,5.976,6.041,5.869,5.74M,-0.95%
"Mar 05, 2023",5.976,5.918,6.057,5.901,54.62M,1.01%
"Mar 04, 2023",5.916,6.035,6.053,5.739,28.92M,-1.98%
"Mar 03, 2023",6.035,6.332,6.336,5.823,11.63M,-4.69%
"Mar 02, 2023",6.332,6.536,6.549,6.231,6.14M,-3.12%
"Mar 01, 2023",6.536,6.345,6.59,6.317,8.77M,3.01%
"Feb 28, 2023",6.345,6.58,6.597,6.281,8.52M,-3.57%
"Feb 27, 2023",6.58,6.689,6.781,6.497,8.99M,-1.65%
"Feb 26, 2023",6.69,6.545,6.726,6.503,13.66M,2.22%
"Feb 25, 2023",6.545,6.614,6.649,6.346,7.27M,-1.04%
"Feb 24, 2023",6.614,7.093,7.144,6.474,15.34M,-6.75%
"Feb 23, 2023",7.093,7.186,7.381,7.017,6.23M,-1.31%
"Feb 22, 2023",7.186,7.249,7.264,6.884,30.82M,-0.86%
"Feb 21, 2023",7.249,7.549,7.566,7.125,13.70M,-3.94%
"Feb 20, 2023",7.546,7.45,7.562,7.269,16.15M,1.29%
"Feb 19, 2023",7.45,7.234,7.861,7.187,30.58M,2.99%
"Feb 18, 2023",7.234,7.285,7.369,7.118,16.81M,-0.70%
"Feb 17, 2023",7.285,6.327,7.411,6.299,37.18M,15.06%
"Feb 16, 2023",6.331,6.613,6.741,6.323,18.97M,-4.25%
"Feb 15, 2023",6.612,6.226,6.615,6.162,13.96M,6.20%
"Feb 14, 2023",6.226,6.131,6.258,6.015,11.12M,1.55%
"Feb 13, 2023",6.131,6.18,6.242,5.886,13.30M,-0.79%
"Feb 12, 2023",6.18,6.278,6.382,6.086,4.89M,-1.56%
"Feb 11, 2023",6.278,6.187,6.29,6.16,3.52M,1.47%
"Feb 10, 2023",6.187,6.236,6.305,6.13,10.49M,-0.78%
"Feb 09, 2023",6.236,6.757,6.973,6.113,21.95M,-7.62%
"Feb 08, 2023",6.75,6.941,6.997,6.63,9.97M,-2.75%
"Feb 07, 2023",6.941,6.492,6.947,6.482,11.47M,6.95%
"Feb 06, 2023",6.49,6.637,6.788,6.452,9.85M,-2.22%
"Feb 05, 2023",6.637,6.875,6.891,6.516,10.97M,-3.46%
"Feb 04, 2023",6.875,7.007,7.066,6.828,8.07M,-1.89%
"Feb 03, 2023",7.007,6.545,7.115,6.515,21.42M,7.07%
"Feb 02, 2023",6.544,6.466,6.88,6.455,9.26M,1.29%
"Feb 01, 2023",6.461,6.261,6.489,6.034,12.10M,3.19%
"Jan 31, 2023",6.262,6.19,6.32,6.148,4.06M,1.15%
"Jan 30, 2023",6.19,6.613,6.647,6.05,11.50M,-6.40%
"Jan 29, 2023",6.613,6.401,6.695,6.336,9.79M,3.31%
"Jan 28, 2023",6.401,6.581,6.659,6.33,8.08M,-2.73%
"Jan 27, 2023",6.581,6.477,6.621,6.3,11.22M,1.61%
"Jan 26, 2023",6.477,6.392,6.554,6.305,14.17M,1.33%
"Jan 25, 2023",6.392,6.189,6.552,6.021,15.34M,3.28%
"Jan 24, 2023",6.189,6.559,6.704,6.127,12.92M,-5.64%
"Jan 23, 2023",6.559,6.205,6.807,6.202,21.35M,5.70%
"Jan 22, 2023",6.205,6.235,6.454,6.09,11.87M,-0.48%
"Jan 21, 2023",6.235,6.263,6.45,6.073,17.21M,-0.45%
"Jan 20, 2023",6.263,5.804,6.281,5.757,5.93M,7.91%
"Jan 19, 2023",5.804,5.651,5.842,5.651,6.96M,2.70%
"Jan 18, 2023",5.652,5.947,6.207,5.616,10.55M,-4.97%
"Jan 17, 2023",5.947,5.811,6.197,5.721,16.23M,2.31%
"Jan 16, 2023",5.813,5.93,6.084,5.644,15.71M,-1.97%
"Jan 15, 2023",5.93,6.024,6.057,5.777,12.29M,-1.56%
"Jan 14, 2023",6.024,5.4,6.488,5.396,32.83M,11.56%
"Jan 13, 2023",5.4,5.233,5.42,5.164,10.01M,3.19%
"Jan 12, 2023",5.233,5.135,5.254,5.025,12.48M,1.94%
"Jan 11, 2023",5.133,4.92,5.137,4.831,9.32M,4.34%
"Jan 10, 2023",4.92,4.888,4.968,4.83,5.98M,0.57%
"Jan 09, 2023",4.892,4.823,5.068,4.802,13.49M,1.44%
"Jan 08, 2023",4.823,4.665,4.823,4.605,6.66M,3.38%
"Jan 07, 2023",4.665,4.683,4.705,4.639,4.90M,-0.38%
"Jan 06, 2023",4.683,4.62,4.704,4.554,10.01M,1.38%
"Jan 05, 2023",4.62,4.632,4.649,4.546,6.08M,-0.26%
"Jan 04, 2023",4.632,4.526,4.686,4.526,6.58M,2.32%
"Jan 03, 2023",4.527,4.49,4.545,4.469,4.07M,0.82%
"Jan 02, 2023",4.49,4.369,4.526,4.322,9.80M,2.77%
"Jan 01, 2023",4.369,4.3,4.386,4.277,3.15M,1.62%
"Dec 31, 2022",4.3,4.324,4.394,4.299,3.69M,-0.54%
"Dec 30, 2022",4.323,4.309,4.341,4.235,2.42M,0.34%
"Dec 29, 2022",4.309,4.286,4.351,4.231,5.20M,0.56%
"Dec 28, 2022",4.285,4.478,4.482,4.253,11.80M,-4.35%
"Dec 27, 2022",4.48,4.572,4.579,4.467,8.96M,-2.01%
"Dec 26, 2022",4.572,4.494,4.576,4.465,4.20M,1.74%
"Dec 25, 2022",4.494,4.452,4.497,4.402,3.55M,0.94%
"Dec 24, 2022",4.452,4.473,4.49,4.43,2.72M,-0.47%
"Dec 23, 2022",4.473,4.531,4.544,4.456,5.56M,-1.28%
"Dec 22, 2022",4.531,4.484,4.535,4.374,6.36M,1.05%
"Dec 21, 2022",4.484,4.606,4.615,4.446,5.80M,-2.70%
"Dec 20, 2022",4.608,4.48,4.646,4.465,6.95M,2.87%
"Dec 19, 2022",4.48,4.656,4.705,4.423,10.07M,-3.70%
"Dec 18, 2022",4.652,4.708,4.714,4.619,5.80M,-1.19%
"Dec 17, 2022",4.708,4.652,4.717,4.586,9.79M,1.19%
"Dec 16, 2022",4.652,5.228,5.249,4.534,15.37M,-11.01%
"Dec 15, 2022",5.228,5.215,5.25,5.123,8.78M,0.21%
"Dec 14, 2022",5.217,5.28,5.355,5.177,12.18M,-1.29%
"Dec 13, 2022",5.285,5.17,5.34,5,62.26M,2.22%
"Dec 12, 2022",5.17,5.16,5.19,5.01,9.11M,0.19%
"Dec 11, 2022",5.16,5.27,5.319,5.14,7.31M,-2.16%
"Dec 10, 2022",5.274,5.299,5.32,5.26,21.02M,-0.46%
"Dec 09, 2022",5.299,5.42,5.44,5.268,6.31M,-2.24%
"Dec 08, 2022",5.42,5.29,5.46,5.25,8.35M,2.46%
"Dec 07, 2022",5.29,5.509,5.52,5.24,11.51M,-3.98%
"Dec 06, 2022",5.509,5.48,5.51,5.43,5.74M,0.53%
"Dec 05, 2022",5.48,5.6,5.73,5.45,7.63M,-2.14%
"Dec 04, 2022",5.6,5.49,5.61,5.49,5.73M,2.00%
"Dec 03, 2022",5.49,5.62,5.71,5.48,9.11M,-2.31%
"Dec 02, 2022",5.62,5.4,5.69,5.37,13.59M,4.08%
"Dec 01, 2022",5.4,5.47,5.48,5.32,8.19M,-1.28%
"Nov 30, 2022",5.47,5.31,5.5,5.31,9.73M,3.03%
"Nov 29, 2022",5.309,5.13,5.35,5.1,4.31M,3.49%
"Nov 28, 2022",5.13,5.3,5.32,5.07,10.51M,-3.21%
"Nov 27, 2022",5.3,5.3,5.44,5.279,4.67M,0.00%
"Nov 26, 2022",5.3,5.27,5.45,5.24,5.94M,0.57%
"Nov 25, 2022",5.27,5.38,5.39,5.25,5.68M,-2.05%
"Nov 24, 2022",5.38,5.449,5.52,5.33,7.63M,-1.27%
"Nov 23, 2022",5.449,5.28,5.49,5.25,4.54M,3.21%
"Nov 22, 2022",5.28,5.18,5.32,5,12.05M,1.92%
"Nov 21, 2022",5.18,5.299,5.299,5.079,13.67M,-2.22%
"Nov 20, 2022",5.298,5.608,5.66,5.25,4.36M,-5.37%
"Nov 19, 2022",5.598,5.58,5.649,5.55,2.06M,-0.37%
"Nov 18, 2022",5.62,5.71,5.76,5.609,6.84M,-1.41%
"Nov 17, 2022",5.7,5.68,5.73,5.58,5.91M,0.35%
"Nov 16, 2022",5.68,5.92,6,5.618,7.19M,-4.04%
"Nov 15, 2022",5.919,5.86,6.05,5.8,3.64M,1.01%
"Nov 14, 2022",5.86,5.749,5.89,5.45,12.01M,1.92%
"Nov 13, 2022",5.749,5.77,5.96,5.63,10.48M,-0.35%
"Nov 12, 2022",5.77,5.756,5.88,5.57,7.48M,0.25%
"Nov 11, 2022",5.755,5.968,6,5.524,11.78M,-3.55%
"Nov 10, 2022",5.967,5.408,6.17,5.35,15.34M,10.34%
"Nov 09, 2022",5.408,6.3,6.37,5.346,36.21M,-14.17%
"Nov 08, 2022",6.3,7.11,7.19,5.912,36.12M,-11.39%
"Nov 07, 2022",7.11,6.82,7.42,6.66,19.41M,4.26%
"Nov 06, 2022",6.82,7.03,7.14,6.8,11.87M,-2.98%
"Nov 05, 2022",7.03,7.05,7.25,6.95,15.28M,-0.29%
"Nov 04, 2022",7.05,6.41,7.1,6.39,19.86M,9.98%
"Nov 03, 2022",6.41,6.25,6.53,6.23,11.17M,2.57%
"Nov 02, 2022",6.25,6.46,6.52,6.17,12.69M,-3.25%
"Nov 01, 2022",6.46,6.63,6.72,6.46,7.58M,-2.57%
"Oct 31, 2022",6.63,6.66,6.84,6.57,14.66M,-0.44%
"Oct 30, 2022",6.66,6.64,6.74,6.52,8.84M,0.30%
"Oct 29, 2022",6.64,6.51,6.76,6.5,12.43M,1.99%
"Oct 28, 2022",6.51,6.33,6.58,6.27,9.98M,2.85%
"Oct 27, 2022",6.33,6.46,6.64,6.28,13.87M,-2.02%
"Oct 26, 2022",6.461,6.43,6.6,6.42,6.80M,0.47%
"Oct 25, 2022",6.43,5.92,6.611,5.89,18.84M,8.62%
"Oct 24, 2022",5.92,5.96,5.99,5.81,7.83M,-0.67%
"Oct 23, 2022",5.96,5.846,5.98,5.77,5.99M,1.97%
"Oct 22, 2022",5.845,5.83,5.87,5.77,12.10M,0.25%
"Oct 21, 2022",5.83,5.88,5.9,5.74,13.97M,-0.85%
"Oct 20, 2022",5.88,6.1,6.15,5.83,10.44M,-3.61%
"Oct 19, 2022",6.1,6.16,6.26,6.07,8.97M,-0.97%
