Date,Close,Open,High,Low,Vol.,Change %
"Mar 27, 2023",1764.53,1773.91,1780.06,1747.56,383.13K,-0.54%
"Mar 26, 2023",1774.06,1742.32,1796.77,1739.39,371.97K,1.82%
"Mar 25, 2023",1742.34,1749.28,1761.66,1714.43,368.84K,-0.40%
"Mar 24, 2023",1749.26,1813.62,1818.53,1728.69,602.30K,-3.57%
"Mar 23, 2023",1814.08,1734.32,1852.48,1729.38,767.73K,4.59%
"Mar 22, 2023",1734.48,1801.58,1818.47,1711.05,933.24K,-3.83%
"Mar 21, 2023",1803.54,1732.32,1833.12,1719.55,779.81K,4.11%
"Mar 20, 2023",1732.31,1780.12,1802.76,1723.90,716.26K,-2.65%
"Mar 19, 2023",1779.47,1758.70,1838.84,1758.66,574.73K,1.18%
"Mar 18, 2023",1758.70,1789.38,1833.82,1751.14,763.06K,-1.71%
"Mar 17, 2023",1789.38,1673.76,1796.74,1663.67,975.13K,6.90%
"Mar 16, 2023",1673.85,1649.66,1689.09,1634.21,660.14K,1.47%
"Mar 15, 2023",1649.65,1700.14,1716.56,1614.93,1.02M,-2.97%
"Mar 14, 2023",1700.15,1673.83,1776.65,1655.74,1.36M,1.57%
"Mar 13, 2023",1673.93,1580.28,1690.18,1565.83,1.30M,5.93%
"Mar 12, 2023",1580.24,1472.08,1585.09,1452.33,1.06M,7.42%
"Mar 11, 2023",1471.15,1426.74,1475.92,1408.58,1.43M,3.11%
"Mar 10, 2023",1426.75,1437.49,1437.49,1371.47,1.01M,-0.82%
"Mar 09, 2023",1438.50,1533.04,1545.98,1413.17,764.77K,-6.17%
"Mar 08, 2023",1533.04,1561.79,1569.70,1531.28,478.44K,-1.84%
"Mar 07, 2023",1561.78,1565.84,1580.95,1536.31,460.10K,-0.26%
"Mar 06, 2023",1565.84,1564.36,1581.13,1555.43,322.16K,0.09%
"Mar 05, 2023",1564.37,1566.73,1587.95,1556.84,313.01K,-0.15%
"Mar 04, 2023",1566.73,1569.45,1577.02,1550.10,247.02K,-0.14%
"Mar 03, 2023",1568.89,1647.86,1649.19,1547.61,783.74K,-4.76%
