Date,Close,Open,High,Low,Vol.,Change %
2023-03-01,1558.96,1604.69,1677.45,1536.31,3.52M,-2.85%
2023-02-01,1604.69,1585.27,1738.87,1464.10,14.07M,1.23%
2023-01-01,1585.27,1195.69,1678.27,1191.67,15.36M,32.58%
2022-12-01,1195.67,1294.40,1348.43,1152.54,11.56M,-7.63%
2022-11-01,1294.41,1572.89,1666.17,1076.29,25.72M,-17.70%
2022-10-01,1572.89,1328.73,1660.13,1196.63,18.77M,18.37%
2022-09-01,1328.73,1554.57,1788.10,1222.29,26.34M,-14.56%
2022-08-01,1555.12,1679.98,2028.40,1424.33,30.21M,-7.43%
2022-07-01,1680.00,1069.13,1781.39,1012.29,45.65M,57.15%
2022-06-01,1069.05,1941.81,1971.22,883.35,48.62M,-44.95%
2022-05-01,1941.79,2727.20,2963.54,1708.62,30.39M,-28.80%
2022-04-01,2727.18,3282.33,3579.82,2716.31,16.66M,-16.91%
2022-03-01,3282.35,2922.44,3481.23,2447.74,18.38B,12.31%
2022-02-01,2922.50,2686.82,3277.36,2303.07,18.06M,8.77%
2022-01-01,2686.82,3677.69,3889.07,2161.55,19.15M,-26.95%
2021-12-01,3677.85,4628.72,4778.14,3533.02,18.28M,-20.55%
2021-11-01,4628.90,4287.41,4864.06,3917.43,17.12M,7.96%
2021-10-01,4287.56,2999.86,4458.30,2972.75,21.57M,42.89%
2021-09-01,3000.59,3429.65,4024.89,2659.71,30.69M,-12.54%
2021-08-01,3430.74,2530.94,3467.42,2445.49,26.43M,35.49%
2021-07-01,2532.19,2274.50,2551.68,1720.70,33.53M,11.36%
2021-06-01,2273.84,2707.94,2889.19,1707.24,51.29M,-16.05%
2021-05-01,2708.47,2772.27,4366.10,1739.91,81.40M,-2.32%
2021-04-01,2772.78,1918.82,2797.61,1897.38,61.47M,44.57%
2021-03-01,1917.99,1418.91,1945.40,1411.55,50.74M,35.19%
2021-02-01,1418.76,1312.69,2040.79,1272.09,53.76M,8.08%
2021-01-01,1312.73,735.87,1474.68,715.15,79.04M,78.37%
2020-12-01,735.94,616.78,757.11,530.88,300.29M,19.49%
2020-11-01,615.92,386.36,621.70,370.96,437.16M,59.39%
2020-10-01,386.42,359.50,420.12,334.11,209.52M,7.52%
2020-09-01,359.39,433.89,488.24,314.13,410.26M,-17.17%
2020-08-01,433.90,346.48,444.86,335.76,246.93M,25.22%
2020-07-01,346.51,225.61,349.34,223.53,237.53M,53.58%
2020-06-01,225.63,231.80,253.21,217.11,220.37M,-2.67%
2020-05-01,231.81,206.23,246.55,177.43,549.27M,12.41%
2020-04-01,206.22,132.88,227.05,128.93,752.88M,55.22%
2020-03-01,132.86,217.51,251.55,88.50,798.97M,-38.92%
2020-02-01,217.52,179.88,287.93,179.88,565.04M,20.91%
2020-01-01,179.91,129.21,186.76,126.05,412.79M,39.24%
2019-12-01,129.21,151.93,152.33,117.14,378.34M,-14.97%
