Date,Close,Open,High,Low,Vol.,Change %
"Mar 27, 2023",0.6142,0.6327,0.6348,0.6098,20.50M,-2.92%
"Mar 26, 2023",0.6327,0.6227,0.6397,0.6181,14.53M,1.60%
"Mar 25, 2023",0.6227,0.6301,0.643,0.613,23.26M,-1.17%
"Mar 24, 2023",0.6301,0.6604,0.6624,0.6171,27.32M,-4.59%
"Mar 23, 2023",0.6604,0.6344,0.6727,0.6276,30.06M,4.10%
"Mar 22, 2023",0.6344,0.6726,0.675,0.6206,46.23M,-5.68%
"Mar 21, 2023",0.6726,0.6586,0.6875,0.6266,37.23M,2.13%
"Mar 20, 2023",0.6586,0.6824,0.7144,0.6447,54.72M,-3.48%
"Mar 19, 2023",0.6823,0.6675,0.7041,0.6675,34.26M,2.16%
"Mar 18, 2023",0.6679,0.679,0.7278,0.6643,60.36M,-1.64%
"Mar 17, 2023",0.679,0.5978,0.6856,0.5887,43.36M,13.58%
"Mar 16, 2023",0.5978,0.5853,0.601,0.5754,28.76M,2.14%
"Mar 15, 2023",0.5853,0.6439,0.6534,0.571,58.00M,-9.10%
"Mar 14, 2023",0.6439,0.6179,0.667,0.5976,56.83M,4.21%
"Mar 13, 2023",0.6179,0.5863,0.6254,0.5629,65.31M,5.39%
"Mar 12, 2023",0.5863,0.5281,0.5868,0.5135,45.66M,11.01%
"Mar 11, 2023",0.5281,0.5372,0.5503,0.5091,40.97M,-1.71%
"Mar 10, 2023",0.5373,0.5339,0.5399,0.5068,55.01M,0.63%
"Mar 09, 2023",0.5339,0.5689,0.5896,0.5233,48.49M,-6.15%
"Mar 08, 2023",0.5689,0.6094,0.6125,0.5624,33.88M,-6.65%
"Mar 07, 2023",0.6094,0.6285,0.6358,0.5921,35.64M,-3.04%
"Mar 06, 2023",0.6285,0.6147,0.6396,0.5993,34.74M,2.24%
"Mar 05, 2023",0.6147,0.6226,0.6398,0.6115,22.98M,-1.26%
